Data,Cidade,Tipo_Mercado,Numero_Indice_Total,Var_Mensal_Percent,Var_12m_Percent,Preco_m2,IPCA,IGP-M,IPCA_var,IGPM_var,SELIC_media_mensal
2022-11-01,Fortaleza,Venda,178.8,,0.0841,6733.0,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,Fortaleza,Venda,179.9,,0.0828999999999999,6775.0,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,Fortaleza,Venda,181.3,,0.083,6825.0,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,Fortaleza,Venda,181.7,,0.0733,6843.0,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,Fortaleza,Venda,182.5,,0.0630999999999999,6873.0,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,Fortaleza,Venda,183.3,,0.0603,6900.0,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,Fortaleza,Venda,184.5,,0.0636,6945.0,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,Fortaleza,Venda,186.4,,0.0726,7018.0,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,Fortaleza,Venda,187.9,,0.0745,7073.0,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,Fortaleza,Venda,188.8,,0.0729,7108.0,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,Fortaleza,Venda,188.7,,0.0678,7104.0,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,Fortaleza,Venda,188.9,,0.0633,7114.0,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,Fortaleza,Venda,189.4,,0.0591,7131.0,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,Fortaleza,Venda,189.6,,0.0537,7139.0,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,Fortaleza,Venda,189.8,,0.0472,7147.0,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,Fortaleza,Venda,190.9,,0.0501999999999999,7187.0,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
2024-03-01,Fortaleza,Venda,192.3,,0.0535,7241.0,3.47545875,3.90178375,-6.485209017445404,2.489014426234037,0.0414203
2024-04-01,Fortaleza,Venda,194.1,,0.0592,7309.0,3.515184090909091,4.083145454545455,1.1430243822945885,4.648174172785846,0.040168
2024-05-01,Fortaleza,Venda,195.2,,0.0584999999999999,7351.0,3.629939285714285,4.466585714285714,3.264557184984196,9.390805789526912,0.039483809523809525
2024-06-01,Fortaleza,Venda,196.9,,0.0562,7412.0,3.64047125,4.47748625,0.290141610003336,0.2440462673630516,0.03927
2024-07-01,Fortaleza,Venda,199.1,,0.06,7498.0,3.752504347826087,4.288230434782609,3.077433940072627,-4.226831857214341,0.03927
2024-08-01,Fortaleza,Venda,202.4,,0.0721,7620.0,3.826120454545455,4.1475420454545455,1.9617860472837425,-3.2808029201722544,0.03927
2024-09-01,Fortaleza,Venda,204.6,,0.0844999999999999,7704.0,4.022889285714286,4.077870238095239,5.142776697870799,-1.6798336604125108,0.03961209523809524
2024-10-01,Fortaleza,Venda,206.2,,0.0915,7765.0,4.065692391304348,4.3593402173913045,1.0639891518282596,6.902377046395181,0.040168
2024-11-01,Fortaleza,Venda,208.3,,0.0998,7843.0,4.284196052631579,4.577456578947369,5.374328411922269,5.003425992903776,0.04158036842105264
2024-12-01,Fortaleza,Venda,211.4,,0.1149,7960.0,4.820945238095239,4.975930952380953,12.528585967347606,8.705148078656745,0.044158333333333334
2025-01-01,Fortaleza,Venda,214.2,,0.1283,8064.0,5.259276136363637,4.963214772727273,9.092218986531853,-0.2555537802950258,0.04583336363636364
2025-02-01,Fortaleza,Venda,215.3,,0.1278,8105.0,5.690838749999999,5.175330000000001,8.205741673316158,4.273746694144576,0.049037
2025-03-01,Fortaleza,Venda,215.8,,0.1223,8127.0,5.255302631578948,5.0825815789473685,-7.653285175600022,-1.792125739858752,0.05050815789473684
2025-04-01,Fortaleza,Venda,218.0,,0.1233,8209.0,4.990705,5.09747,-5.034869542792619,0.2929302918481591,0.05253100000000001
2022-01-01,João,Locacao,100.0,,0.0,27.3,5.182683333333333,5.935103571428572,,,0.034749
2022-02-01,João,Locacao,103.1,,0.0,28.2,5.332007894736842,6.120422368421053,2.88122101620798,3.122418922638537,0.03959757894736843
2022-03-01,João,Locacao,105.1,,0.0,28.7,5.784530681818182,6.808053409090909,8.486911422768518,11.235025939022748,0.041953500000000005
2022-04-01,João,Locacao,107.6,,0.0,29.4,5.715367105263158,6.757856578947368,-1.195664442967126,-0.7373154575507912,0.043739
2022-05-01,João,Locacao,109.0,,0.0,29.8,5.998756818181818,6.515722727272728,4.958381634973064,-3.582997787034359,0.04679627272727272
2022-06-01,João,Locacao,110.4,,0.0,30.1,5.834003571428572,6.245964285714285,-2.746456503352324,-4.140115423102952,0.048116142857142864
2022-07-01,João,Locacao,111.7,,0.0,30.5,5.181057142857143,5.805783333333333,-11.192081399626952,-7.047445874574243,0.049037
2022-08-01,João,Locacao,113.0,,0.0,30.8,5.405071739130435,5.148797826086956,4.323723713067507,-11.316052796430752,0.050559608695652174
2022-09-01,João,Locacao,113.9,,0.0,31.1,5.071798809523809,4.665683333333333,-6.165929809846382,-9.383054240465029,0.050788
2022-10-01,João,Locacao,114.4,,0.0,31.2,5.05433875,4.2630525,-0.3442577314191286,-8.629621956055022,0.050788
2022-11-01,João,Locacao,113.3,,0.0,30.9,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,João,Locacao,114.3,,0.1616,31.2,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,João,Locacao,116.8,,0.1676,31.9,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,João,Locacao,120.6,,0.1689,32.9,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,João,Locacao,123.4,,0.1743,33.7,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,João,Locacao,124.6,,0.1573,34.0,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,João,Locacao,125.7,,0.1534,34.3,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,João,Locacao,127.4,,0.1542,34.8,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,João,Locacao,129.3,,0.1577,35.3,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,João,Locacao,130.7,,0.1567,35.7,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,João,Locacao,130.9,,0.1496,35.7,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,João,Locacao,132.1,,0.1546,36.1,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,João,Locacao,134.3,,0.1853999999999999,36.7,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,João,Locacao,137.4,,0.2019,37.5,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,João,Locacao,139.2,,0.1923,38.0,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,João,Locacao,141.2,,0.171,38.5,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
2024-03-01,João,Locacao,142.1,,0.1510999999999999,38.8,3.47545875,3.90178375,-6.485209017445404,2.489014426234037,0.0414203
2024-04-01,João,Locacao,144.1,,0.1568,39.3,3.515184090909091,4.083145454545455,1.1430243822945885,4.648174172785846,0.040168
2024-05-01,João,Locacao,144.6,,0.1502,39.5,3.629939285714285,4.466585714285714,3.264557184984196,9.390805789526912,0.039483809523809525
2024-06-01,João,Locacao,145.8,,0.1439,39.8,3.64047125,4.47748625,0.290141610003336,0.2440462673630516,0.03927
2024-07-01,João,Locacao,145.9,,0.1288,39.8,3.752504347826087,4.288230434782609,3.077433940072627,-4.226831857214341,0.03927
2024-08-01,João,Locacao,146.4,,0.1208,40.0,3.826120454545455,4.1475420454545455,1.9617860472837425,-3.2808029201722544,0.03927
2024-09-01,João,Locacao,146.6,,0.1201,40.0,4.022889285714286,4.077870238095239,5.142776697870799,-1.6798336604125108,0.03961209523809524
2024-10-01,João,Locacao,148.0,,0.1202,40.4,4.065692391304348,4.3593402173913045,1.0639891518282596,6.902377046395181,0.040168
2024-11-01,João,Locacao,149.2,,0.1108,40.7,4.284196052631579,4.577456578947369,5.374328411922269,5.003425992903776,0.04158036842105264
2024-12-01,João,Locacao,151.4,,0.1015,41.3,4.820945238095239,4.975930952380953,12.528585967347606,8.705148078656745,0.044158333333333334
2025-01-01,João,Locacao,154.9,,0.1128999999999999,42.3,5.259276136363637,4.963214772727273,9.092218986531853,-0.2555537802950258,0.04583336363636364
2025-02-01,João,Locacao,158.9,,0.1252,43.4,5.690838749999999,5.175330000000001,8.205741673316158,4.273746694144576,0.049037
2025-03-01,João,Locacao,161.5,,0.1366,44.1,5.255302631578948,5.0825815789473685,-7.653285175600022,-1.792125739858752,0.05050815789473684
2025-04-01,João,Locacao,162.9,,0.1301,44.4,4.990705,5.09747,-5.034869542792619,0.2929302918481591,0.05253100000000001
2022-01-01,João,Venda,110.9,,0.0844999999999999,4984.0,5.182683333333333,5.935103571428572,,,0.034749
2022-02-01,João,Venda,112.1,,0.0873,5039.0,5.332007894736842,6.120422368421053,2.88122101620798,3.122418922638537,0.03959757894736843
2022-03-01,João,Venda,113.1,,0.0907,5085.0,5.784530681818182,6.808053409090909,8.486911422768518,11.235025939022748,0.041953500000000005
2022-04-01,João,Venda,114.8,,0.0969999999999999,5160.0,5.715367105263158,6.757856578947368,-1.195664442967126,-0.7373154575507912,0.043739
2022-05-01,João,Venda,116.5,,0.1065,5235.0,5.998756818181818,6.515722727272728,4.958381634973064,-3.582997787034359,0.04679627272727272
2022-06-01,João,Venda,117.6,,0.1139,5286.0,5.834003571428572,6.245964285714285,-2.746456503352324,-4.140115423102952,0.048116142857142864
2022-07-01,João,Venda,118.8,,0.1217,5341.0,5.181057142857143,5.805783333333333,-11.192081399626952,-7.047445874574243,0.049037
2022-08-01,João,Venda,118.8,,0.1162,5338.0,5.405071739130435,5.148797826086956,4.323723713067507,-11.316052796430752,0.050559608695652174
2022-09-01,João,Venda,119.5,,0.1149,5373.0,5.071798809523809,4.665683333333333,-6.165929809846382,-9.383054240465029,0.050788
2022-10-01,João,Venda,120.0,,0.1093,5392.0,5.05433875,4.2630525,-0.3442577314191286,-8.629621956055022,0.050788
2022-11-01,João,Venda,121.0,,0.1091,5439.0,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,João,Venda,121.4,,0.1026,5455.0,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,João,Venda,122.7,,0.1069,5517.0,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,João,Venda,124.3,,0.1086999999999999,5586.0,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,João,Venda,126.0,,0.1134,5662.0,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,João,Venda,126.8,,0.1042,5698.0,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,João,Venda,127.7,,0.0968,5741.0,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,João,Venda,127.6,,0.0852999999999999,5737.0,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,João,Venda,127.6,,0.0738,5735.0,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,João,Venda,127.5,,0.0737,5732.0,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,João,Venda,129.0,,0.0793,5800.0,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,João,Venda,130.7,,0.0895,5875.0,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,João,Venda,132.2,,0.0921,5940.0,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,João,Venda,133.3,,0.0982,5991.0,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,João,Venda,134.3,,0.0941,6036.0,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,João,Venda,136.6,,0.0993,6141.0,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
2024-03-01,João,Venda,138.0,,0.0951999999999999,6201.0,3.47545875,3.90178375,-6.485209017445404,2.489014426234037,0.0414203
2024-04-01,João,Venda,140.1,,0.1048,6296.0,3.515184090909091,4.083145454545455,1.1430243822945885,4.648174172785846,0.040168
2024-05-01,João,Venda,141.3,,0.1067,6354.0,3.629939285714285,4.466585714285714,3.264557184984196,9.390805789526912,0.039483809523809525
2024-06-01,João,Venda,143.5,,0.1247,6452.0,3.64047125,4.47748625,0.290141610003336,0.2440462673630516,0.03927
2024-07-01,João,Venda,145.4,,0.1399,6537.0,3.752504347826087,4.288230434782609,3.077433940072627,-4.226831857214341,0.03927
2024-08-01,João,Venda,148.1,,0.1613,6656.0,3.826120454545455,4.1475420454545455,1.9617860472837425,-3.2808029201722544,0.03927
2024-09-01,João,Venda,151.0,,0.17,6786.0,4.022889285714286,4.077870238095239,5.142776697870799,-1.6798336604125108,0.03961209523809524
2024-10-01,João,Venda,152.7,,0.1682999999999999,6864.0,4.065692391304348,4.3593402173913045,1.0639891518282596,6.902377046395181,0.040168
2024-11-01,João,Venda,153.5,,0.1613,6899.0,4.284196052631579,4.577456578947369,5.374328411922269,5.003425992903776,0.04158036842105264
2024-12-01,João,Venda,154.0,,0.1553999999999999,6922.0,4.820945238095239,4.975930952380953,12.528585967347606,8.705148078656745,0.044158333333333334
2025-01-01,João,Venda,156.4,,0.1646999999999999,7030.0,5.259276136363637,4.963214772727273,9.092218986531853,-0.2555537802950258,0.04583336363636364
2025-02-01,João,Venda,159.8,,0.1696,7183.0,5.690838749999999,5.175330000000001,8.205741673316158,4.273746694144576,0.049037
2025-03-01,João,Venda,163.3,,0.1839,7342.0,5.255302631578948,5.0825815789473685,-7.653285175600022,-1.792125739858752,0.05050815789473684
2025-04-01,João,Venda,165.6,,0.1825,7445.0,4.990705,5.09747,-5.034869542792619,0.2929302918481591,0.05253100000000001
2022-01-01,Maceió,Locacao,95.2,,0.0,34.5,5.182683333333333,5.935103571428572,,,0.034749
2022-02-01,Maceió,Locacao,100.0,,0.0,36.2,5.332007894736842,6.120422368421053,2.88122101620798,3.122418922638537,0.03959757894736843
2022-03-01,Maceió,Locacao,105.9,,0.0,38.4,5.784530681818182,6.808053409090909,8.486911422768518,11.235025939022748,0.041953500000000005
2022-04-01,Maceió,Locacao,107.8,,0.0,39.1,5.715367105263158,6.757856578947368,-1.195664442967126,-0.7373154575507912,0.043739
2022-05-01,Maceió,Locacao,107.8,,0.0,39.1,5.998756818181818,6.515722727272728,4.958381634973064,-3.582997787034359,0.04679627272727272
2022-06-01,Maceió,Locacao,106.7,,0.0,38.7,5.834003571428572,6.245964285714285,-2.746456503352324,-4.140115423102952,0.048116142857142864
2022-07-01,Maceió,Locacao,107.6,,0.0,39.0,5.181057142857143,5.805783333333333,-11.192081399626952,-7.047445874574243,0.049037
2022-08-01,Maceió,Locacao,108.0,,0.0,39.1,5.405071739130435,5.148797826086956,4.323723713067507,-11.316052796430752,0.050559608695652174
2022-09-01,Maceió,Locacao,110.2,,0.0,39.9,5.071798809523809,4.665683333333333,-6.165929809846382,-9.383054240465029,0.050788
2022-10-01,Maceió,Locacao,111.8,,0.0,40.5,5.05433875,4.2630525,-0.3442577314191286,-8.629621956055022,0.050788
2022-11-01,Maceió,Locacao,113.7,,0.0,41.2,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,Maceió,Locacao,115.6,,0.2446,41.9,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,Maceió,Locacao,118.6,,0.2463,43.0,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,Maceió,Locacao,122.9,,0.2291,44.5,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,Maceió,Locacao,125.0,,0.1808,45.3,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,Maceió,Locacao,126.2,,0.17,45.7,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,Maceió,Locacao,124.7,,0.1564,45.2,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,Maceió,Locacao,124.5,,0.1675,45.1,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,Maceió,Locacao,123.8,,0.1509,44.9,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,Maceió,Locacao,123.2,,0.141,44.6,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,Maceió,Locacao,124.0,,0.1253999999999999,44.9,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,Maceió,Locacao,125.4,,0.1216,45.5,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,Maceió,Locacao,127.6,,0.1217,46.2,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,Maceió,Locacao,130.5,,0.1291,47.3,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,Maceió,Locacao,132.9,,0.1204,48.2,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,Maceió,Locacao,135.4,,0.102,49.1,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
2024-03-01,Maceió,Locacao,134.8,,0.0787,48.9,3.47545875,3.90178375,-6.485209017445404,2.489014426234037,0.0414203
2024-04-01,Maceió,Locacao,133.1,,0.0549,48.2,3.515184090909091,4.083145454545455,1.1430243822945885,4.648174172785846,0.040168
2024-05-01,Maceió,Locacao,132.0,,0.0584,47.8,3.629939285714285,4.466585714285714,3.264557184984196,9.390805789526912,0.039483809523809525
2024-06-01,Maceió,Locacao,131.4,,0.0553,47.6,3.64047125,4.47748625,0.290141610003336,0.2440462673630516,0.03927
2024-07-01,Maceió,Locacao,132.1,,0.0667,47.9,3.752504347826087,4.288230434782609,3.077433940072627,-4.226831857214341,0.03927
2024-08-01,Maceió,Locacao,132.3,,0.0741,48.0,3.826120454545455,4.1475420454545455,1.9617860472837425,-3.2808029201722544,0.03927
2024-09-01,Maceió,Locacao,132.2,,0.0657,47.9,4.022889285714286,4.077870238095239,5.142776697870799,-1.6798336604125108,0.03961209523809524
2024-10-01,Maceió,Locacao,131.5,,0.0484999999999999,47.7,4.065692391304348,4.3593402173913045,1.0639891518282596,6.902377046395181,0.040168
2024-11-01,Maceió,Locacao,132.6,,0.0395999999999999,48.1,4.284196052631579,4.577456578947369,5.374328411922269,5.003425992903776,0.04158036842105264
2024-12-01,Maceió,Locacao,134.9,,0.0335,48.9,4.820945238095239,4.975930952380953,12.528585967347606,8.705148078656745,0.044158333333333334
2025-01-01,Maceió,Locacao,137.5,,0.0351,49.8,5.259276136363637,4.963214772727273,9.092218986531853,-0.2555537802950258,0.04583336363636364
2025-02-01,Maceió,Locacao,140.7,,0.0388,51.0,5.690838749999999,5.175330000000001,8.205741673316158,4.273746694144576,0.049037
2025-03-01,Maceió,Locacao,143.8,,0.0664,52.1,5.255302631578948,5.0825815789473685,-7.653285175600022,-1.792125739858752,0.05050815789473684
2025-04-01,Maceió,Locacao,145.5,,0.0935,52.7,4.990705,5.09747,-5.034869542792619,0.2929302918481591,0.05253100000000001
2022-01-01,Maceió,Venda,125.3,,0.1830999999999999,6488.0,5.182683333333333,5.935103571428572,,,0.034749
2022-02-01,Maceió,Venda,126.8,,0.1793,6563.0,5.332007894736842,6.120422368421053,2.88122101620798,3.122418922638537,0.03959757894736843
2022-03-01,Maceió,Venda,127.9,,0.1732999999999999,6620.0,5.784530681818182,6.808053409090909,8.486911422768518,11.235025939022748,0.041953500000000005
2022-04-01,Maceió,Venda,127.7,,0.155,6614.0,5.715367105263158,6.757856578947368,-1.195664442967126,-0.7373154575507912,0.043739
