Data,Cidade,Tipo_Mercado,Numero_Indice_Total,Var_Mensal_Percent,Var_12m_Percent,Preco_m2,IPCA,IGP-M,IPCA_var,IGPM_var,SELIC_media_mensal
2022-05-01,Maceió,Venda,128.0,,0.1467,6626.0,5.998756818181818,6.515722727272728,4.958381634973064,-3.582997787034359,0.04679627272727272
2022-06-01,Maceió,Venda,128.9,,0.1456,6673.0,5.834003571428572,6.245964285714285,-2.746456503352324,-4.140115423102952,0.048116142857142864
2022-07-01,Maceió,Venda,130.7,,0.153,6767.0,5.181057142857143,5.805783333333333,-11.192081399626952,-7.047445874574243,0.049037
2022-08-01,Maceió,Venda,132.0,,0.1447,6836.0,5.405071739130435,5.148797826086956,4.323723713067507,-11.316052796430752,0.050559608695652174
2022-09-01,Maceió,Venda,133.6,,0.1435,6919.0,5.071798809523809,4.665683333333333,-6.165929809846382,-9.383054240465029,0.050788
2022-10-01,Maceió,Venda,135.4,,0.1402,7009.0,5.05433875,4.2630525,-0.3442577314191286,-8.629621956055022,0.050788
2022-11-01,Maceió,Venda,137.8,,0.1421,7135.0,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,Maceió,Venda,139.6,,0.1322,7227.0,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,Maceió,Venda,141.1,,0.1261,7306.0,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,Maceió,Venda,142.5,,0.1246,7381.0,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,Maceió,Venda,144.4,,0.1294,7476.0,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,Maceió,Venda,146.7,,0.1482,7594.0,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,Maceió,Venda,149.1,,0.165,7720.0,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,Maceió,Venda,151.5,,0.1753,7843.0,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,Maceió,Venda,153.6,,0.1751,7951.0,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,Maceió,Venda,155.2,,0.1757999999999999,8038.0,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,Maceió,Venda,157.2,,0.1762,8138.0,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,Maceió,Venda,159.2,,0.1764,8245.0,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,Maceió,Venda,161.1,,0.1692,8342.0,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,Maceió,Venda,161.9,,0.16,8383.0,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,Maceió,Venda,162.8,,0.1535,8427.0,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,Maceió,Venda,164.3,,0.1523,8505.0,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
2024-03-01,Maceió,Venda,165.7,,0.1478,8581.0,3.47545875,3.90178375,-6.485209017445404,2.489014426234037,0.0414203
2024-04-01,Maceió,Venda,168.1,,0.1458,8701.0,3.515184090909091,4.083145454545455,1.1430243822945885,4.648174172785846,0.040168
2024-05-01,Maceió,Venda,170.2,,0.1415,8812.0,3.629939285714285,4.466585714285714,3.264557184984196,9.390805789526912,0.039483809523809525
2024-06-01,Maceió,Venda,172.1,,0.1363,8912.0,3.64047125,4.47748625,0.290141610003336,0.2440462673630516,0.03927
2024-07-01,Maceió,Venda,172.0,,0.1202999999999999,8908.0,3.752504347826087,4.288230434782609,3.077433940072627,-4.226831857214341,0.03927
2024-08-01,Maceió,Venda,171.7,,0.1057,8888.0,3.826120454545455,4.1475420454545455,1.9617860472837425,-3.2808029201722544,0.03927
2024-09-01,Maceió,Venda,171.7,,0.0922,8889.0,4.022889285714286,4.077870238095239,5.142776697870799,-1.6798336604125108,0.03961209523809524
2024-10-01,Maceió,Venda,173.5,,0.0896,8983.0,4.065692391304348,4.3593402173913045,1.0639891518282596,6.902377046395181,0.040168
2024-11-01,Maceió,Venda,176.1,,0.093,9118.0,4.284196052631579,4.577456578947369,5.374328411922269,5.003425992903776,0.04158036842105264
2024-12-01,Maceió,Venda,178.9,,0.105,9263.0,4.820945238095239,4.975930952380953,12.528585967347606,8.705148078656745,0.044158333333333334
2025-01-01,Maceió,Venda,180.4,,0.1085,9342.0,5.259276136363637,4.963214772727273,9.092218986531853,-0.2555537802950258,0.04583336363636364
2025-02-01,Maceió,Venda,181.1,,0.1027999999999999,9379.0,5.690838749999999,5.175330000000001,8.205741673316158,4.273746694144576,0.049037
2025-03-01,Maceió,Venda,180.4,,0.0883,9339.0,5.255302631578948,5.0825815789473685,-7.653285175600022,-1.792125739858752,0.05050815789473684
2025-04-01,Maceió,Venda,179.7,,0.0696,9307.0,4.990705,5.09747,-5.034869542792619,0.2929302918481591,0.05253100000000001
2022-01-01,Natal,Locacao,100.0,,0.0,24.3,5.182683333333333,5.935103571428572,,,0.034749
2022-02-01,Natal,Locacao,101.9,,0.0,24.8,5.332007894736842,6.120422368421053,2.88122101620798,3.122418922638537,0.03959757894736843
2022-03-01,Natal,Locacao,103.7,,0.0,25.2,5.784530681818182,6.808053409090909,8.486911422768518,11.235025939022748,0.041953500000000005
2022-04-01,Natal,Locacao,107.6,,0.0,26.1,5.715367105263158,6.757856578947368,-1.195664442967126,-0.7373154575507912,0.043739
2022-05-01,Natal,Locacao,112.7,,0.0,27.4,5.998756818181818,6.515722727272728,4.958381634973064,-3.582997787034359,0.04679627272727272
2022-06-01,Natal,Locacao,116.3,,0.0,28.2,5.834003571428572,6.245964285714285,-2.746456503352324,-4.140115423102952,0.048116142857142864
2022-07-01,Natal,Locacao,119.9,,0.0,29.1,5.181057142857143,5.805783333333333,-11.192081399626952,-7.047445874574243,0.049037
2022-08-01,Natal,Locacao,121.4,,0.0,29.5,5.405071739130435,5.148797826086956,4.323723713067507,-11.316052796430752,0.050559608695652174
2022-09-01,Natal,Locacao,123.6,,0.0,30.0,5.071798809523809,4.665683333333333,-6.165929809846382,-9.383054240465029,0.050788
2022-10-01,Natal,Locacao,123.9,,0.0,30.1,5.05433875,4.2630525,-0.3442577314191286,-8.629621956055022,0.050788
2022-11-01,Natal,Locacao,124.4,,0.0,30.2,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,Natal,Locacao,125.5,,0.2663,30.5,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,Natal,Locacao,126.2,,0.262,30.7,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,Natal,Locacao,127.8,,0.2546,31.1,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,Natal,Locacao,127.9,,0.2343,31.1,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,Natal,Locacao,129.8,,0.2062,31.5,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,Natal,Locacao,130.9,,0.1613,31.8,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,Natal,Locacao,133.1,,0.1449,32.3,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,Natal,Locacao,134.3,,0.1201,32.6,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,Natal,Locacao,134.8,,0.1101999999999999,32.7,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,Natal,Locacao,136.4,,0.1036,33.1,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,Natal,Locacao,137.5,,0.11,33.4,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,Natal,Locacao,138.0,,0.1093,33.5,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,Natal,Locacao,136.7,,0.0888,33.2,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,Natal,Locacao,135.6,,0.0746,32.9,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,Natal,Locacao,137.2,,0.0731,33.3,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
2024-03-01,Natal,Locacao,140.6,,0.0988,34.2,3.47545875,3.90178375,-6.485209017445404,2.489014426234037,0.0414203
2024-04-01,Natal,Locacao,142.8,,0.1006,34.7,3.515184090909091,4.083145454545455,1.1430243822945885,4.648174172785846,0.040168
2024-05-01,Natal,Locacao,144.4,,0.1038,35.1,3.629939285714285,4.466585714285714,3.264557184984196,9.390805789526912,0.039483809523809525
2024-06-01,Natal,Locacao,144.7,,0.0873,35.2,3.64047125,4.47748625,0.290141610003336,0.2440462673630516,0.03927
2024-07-01,Natal,Locacao,145.9,,0.0856,35.4,3.752504347826087,4.288230434782609,3.077433940072627,-4.226831857214341,0.03927
2024-08-01,Natal,Locacao,146.4,,0.0864,35.6,3.826120454545455,4.1475420454545455,1.9617860472837425,-3.2808029201722544,0.03927
2024-09-01,Natal,Locacao,148.0,,0.0849,36.0,4.022889285714286,4.077870238095239,5.142776697870799,-1.6798336604125108,0.03961209523809524
2024-10-01,Natal,Locacao,150.2,,0.0923,36.5,4.065692391304348,4.3593402173913045,1.0639891518282596,6.902377046395181,0.040168
2024-11-01,Natal,Locacao,151.4,,0.0978,36.8,4.284196052631579,4.577456578947369,5.374328411922269,5.003425992903776,0.04158036842105264
2024-12-01,Natal,Locacao,151.8,,0.1104,36.9,4.820945238095239,4.975930952380953,12.528585967347606,8.705148078656745,0.044158333333333334
2025-01-01,Natal,Locacao,153.1,,0.129,37.2,5.259276136363637,4.963214772727273,9.092218986531853,-0.2555537802950258,0.04583336363636364
2025-02-01,Natal,Locacao,155.5,,0.1336,37.8,5.690838749999999,5.175330000000001,8.205741673316158,4.273746694144576,0.049037
2025-03-01,Natal,Locacao,158.2,,0.1255,38.4,5.255302631578948,5.0825815789473685,-7.653285175600022,-1.792125739858752,0.05050815789473684
2025-04-01,Natal,Locacao,160.8,,0.1257,39.1,4.990705,5.09747,-5.034869542792619,0.2929302918481591,0.05253100000000001
2022-01-01,Natal,Venda,100.0,,0.0,4520.0,5.182683333333333,5.935103571428572,,,0.034749
2022-02-01,Natal,Venda,101.3,,0.0,4578.0,5.332007894736842,6.120422368421053,2.88122101620798,3.122418922638537,0.03959757894736843
2022-03-01,Natal,Venda,102.7,,0.0,4642.0,5.784530681818182,6.808053409090909,8.486911422768518,11.235025939022748,0.041953500000000005
2022-04-01,Natal,Venda,103.6,,0.0,4681.0,5.715367105263158,6.757856578947368,-1.195664442967126,-0.7373154575507912,0.043739
2022-05-01,Natal,Venda,104.0,,0.0,4703.0,5.998756818181818,6.515722727272728,4.958381634973064,-3.582997787034359,0.04679627272727272
2022-06-01,Natal,Venda,104.0,,0.0,4700.0,5.834003571428572,6.245964285714285,-2.746456503352324,-4.140115423102952,0.048116142857142864
2022-07-01,Natal,Venda,103.9,,0.0,4698.0,5.181057142857143,5.805783333333333,-11.192081399626952,-7.047445874574243,0.049037
2022-08-01,Natal,Venda,104.3,,0.0,4715.0,5.405071739130435,5.148797826086956,4.323723713067507,-11.316052796430752,0.050559608695652174
2022-09-01,Natal,Venda,105.0,,0.0,4745.0,5.071798809523809,4.665683333333333,-6.165929809846382,-9.383054240465029,0.050788
2022-10-01,Natal,Venda,105.9,,0.0,4788.0,5.05433875,4.2630525,-0.3442577314191286,-8.629621956055022,0.050788
2022-11-01,Natal,Venda,106.3,,0.0,4806.0,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,Natal,Venda,106.9,,0.0828,4832.0,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,Natal,Venda,107.4,,0.0737,4854.0,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,Natal,Venda,108.9,,0.075,4921.0,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,Natal,Venda,109.8,,0.0694,4964.0,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,Natal,Venda,111.0,,0.0713999999999999,5016.0,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,Natal,Venda,110.4,,0.0611,4991.0,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,Natal,Venda,110.4,,0.0622,4992.0,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,Natal,Venda,109.9,,0.0576999999999999,4969.0,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,Natal,Venda,110.7,,0.0612,5003.0,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,Natal,Venda,111.6,,0.0633,5045.0,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,Natal,Venda,113.3,,0.0695,5120.0,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,Natal,Venda,114.2,,0.0738,5161.0,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,Natal,Venda,114.7,,0.0728,5184.0,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,Natal,Venda,115.7,,0.0771,5228.0,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,Natal,Venda,116.8,,0.0729,5280.0,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
2024-03-01,Natal,Venda,118.1,,0.0751,5337.0,3.47545875,3.90178375,-6.485209017445404,2.489014426234037,0.0414203
2024-04-01,Natal,Venda,119.1,,0.0731,5382.0,3.515184090909091,4.083145454545455,1.1430243822945885,4.648174172785846,0.040168
2024-05-01,Natal,Venda,120.3,,0.0895,5437.0,3.629939285714285,4.466585714285714,3.264557184984196,9.390805789526912,0.039483809523809525
2024-06-01,Natal,Venda,121.2,,0.0978,5480.0,3.64047125,4.47748625,0.290141610003336,0.2440462673630516,0.03927
2024-07-01,Natal,Venda,122.5,,0.1144999999999999,5539.0,3.752504347826087,4.288230434782609,3.077433940072627,-4.226831857214341,0.03927
2024-08-01,Natal,Venda,123.6,,0.1166,5587.0,3.826120454545455,4.1475420454545455,1.9617860472837425,-3.2808029201722544,0.03927
2024-09-01,Natal,Venda,124.5,,0.1153999999999999,5628.0,4.022889285714286,4.077870238095239,5.142776697870799,-1.6798336604125108,0.03961209523809524
2024-10-01,Natal,Venda,124.4,,0.0983,5624.0,4.065692391304348,4.3593402173913045,1.0639891518282596,6.902377046395181,0.040168
2024-11-01,Natal,Venda,124.6,,0.0914,5632.0,4.284196052631579,4.577456578947369,5.374328411922269,5.003425992903776,0.04158036842105264
2024-12-01,Natal,Venda,124.4,,0.0851,5625.0,4.820945238095239,4.975930952380953,12.528585967347606,8.705148078656745,0.044158333333333334
2025-01-01,Natal,Venda,125.1,,0.0818,5655.0,5.259276136363637,4.963214772727273,9.092218986531853,-0.2555537802950258,0.04583336363636364
2025-02-01,Natal,Venda,125.9,,0.0776999999999999,5690.0,5.690838749999999,5.175330000000001,8.205741673316158,4.273746694144576,0.049037
2025-03-01,Natal,Venda,127.8,,0.0821,5775.0,5.255302631578948,5.0825815789473685,-7.653285175600022,-1.792125739858752,0.05050815789473684
2025-04-01,Natal,Venda,128.5,,0.0791999999999999,5808.0,4.990705,5.09747,-5.034869542792619,0.2929302918481591,0.05253100000000001
2020-01-01,Recife,Locacao,120.3,0.0103,0.0768,31.4,,,,,
2020-02-01,Recife,Locacao,120.7,0.0036,0.0665,31.5,,,,,
2020-03-01,Recife,Locacao,121.7,0.0084,0.0721,31.8,,,,,
2020-04-01,Recife,Locacao,122.6,0.0069999999999999,0.0758,32.0,,,,,
2020-05-01,Recife,Locacao,122.6,0.0003,0.0733999999999999,32.0,,,,,
2020-06-01,Recife,Locacao,121.9,-0.0059,0.0717,31.8,,,,,
2020-07-01,Recife,Locacao,121.4,-0.0040999999999999,0.0725,31.7,,,,,
2020-08-01,Recife,Locacao,121.6,0.0014,0.0864,31.7,,,,,
2020-09-01,Recife,Locacao,121.9,0.003,0.095,31.8,,,,,
2020-10-01,Recife,Locacao,122.6,0.0056,0.0928,32.0,,,,,
2020-11-01,Recife,Locacao,123.6,0.0077,0.0699,32.2,,,,,
2020-12-01,Recife,Locacao,125.0,0.0116999999999999,0.05,32.6,,,,,
2021-01-01,Recife,Locacao,126.1,0.0088,0.0484,32.9,,,,,
2021-02-01,Recife,Locacao,127.6,0.0116,0.0567999999999999,33.3,,,,,
2021-03-01,Recife,Locacao,128.3,0.0055,0.0538,33.5,,,,,
2021-04-01,Recife,Locacao,128.8,0.0039,0.0504999999999999,33.6,,,,,
2021-05-01,Recife,Locacao,129.0,0.0018,0.052,33.7,,,,,
2021-06-01,Recife,Locacao,129.4,0.0028,0.0612,33.8,,,,,
2021-07-01,Recife,Locacao,131.0,0.0127,0.0791,34.2,,,,,
2021-08-01,Recife,Locacao,133.4,0.0181,0.0972,34.8,,,,,
2021-09-01,Recife,Locacao,135.4,0.0151,0.1103,35.3,,,,,
2021-10-01,Recife,Locacao,136.9,0.0113999999999999,0.1168,35.7,,,,,
2021-11-01,Recife,Locacao,137.5,0.0043,0.113,35.9,,,,,
2021-12-01,Recife,Locacao,139.0,0.0107,0.1119,36.3,,,,,
2022-01-01,Recife,Locacao,140.8,0.013,0.1166,36.7,5.182683333333333,5.935103571428572,,,0.034749
2022-02-01,Recife,Locacao,143.6,0.0196,0.1253999999999999,37.5,5.332007894736842,6.120422368421053,2.88122101620798,3.122418922638537,0.03959757894736843
2022-03-01,Recife,Locacao,145.4,0.0126,0.1333,37.9,5.784530681818182,6.808053409090909,8.486911422768518,11.235025939022748,0.041953500000000005
2022-04-01,Recife,Locacao,148.8,0.0235,0.1553999999999999,38.8,5.715367105263158,6.757856578947368,-1.195664442967126,-0.7373154575507912,0.043739
2022-05-01,Recife,Locacao,151.6,0.0189,0.1751,39.6,5.998756818181818,6.515722727272728,4.958381634973064,-3.582997787034359,0.04679627272727272
2022-06-01,Recife,Locacao,154.8,0.0209,0.1964,40.4,5.834003571428572,6.245964285714285,-2.746456503352324,-4.140115423102952,0.048116142857142864
2022-07-01,Recife,Locacao,156.2,0.0093999999999999,0.1924,40.8,5.181057142857143,5.805783333333333,-11.192081399626952,-7.047445874574243,0.049037
2022-08-01,Recife,Locacao,157.7,0.0097,0.1826,41.2,5.405071739130435,5.148797826086956,4.323723713067507,-11.316052796430752,0.050559608695652174
2022-09-01,Recife,Locacao,159.5,0.0113999999999999,0.1783,41.6,5.071798809523809,4.665683333333333,-6.165929809846382,-9.383054240465029,0.050788
2022-10-01,Recife,Locacao,160.5,0.0063,0.1723,41.9,5.05433875,4.2630525,-0.3442577314191286,-8.629621956055022,0.050788
2022-11-01,Recife,Locacao,161.6,0.0066,0.175,42.2,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,Recife,Locacao,162.7,0.0069999999999999,0.1707,42.5,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,Recife,Locacao,164.1,0.0086,0.1655,42.8,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,Recife,Locacao,166.7,0.0157,0.1611,43.5,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,Recife,Locacao,167.0,0.0018,0.1487,43.6,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,Recife,Locacao,167.9,0.0055,0.1286,43.8,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,Recife,Locacao,168.2,0.0016,0.1094,43.9,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,Recife,Locacao,169.3,0.0067,0.094,44.2,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,Recife,Locacao,170.4,0.0066,0.091,44.5,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,Recife,Locacao,173.5,0.0176,0.0996,45.3,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,Recife,Locacao,177.3,0.0224,0.1116,46.3,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,Recife,Locacao,180.2,0.0159,0.1222,47.0,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,Recife,Locacao,181.2,0.006,0.1216,47.3,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,Recife,Locacao,182.9,0.0092,0.124,47.7,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,Recife,Locacao,185.8,0.0157,0.132,48.5,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,Recife,Locacao,189.1,0.0177,0.1341999999999999,49.3,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
